"Neighborhood","Venue Category","Venue","Id","Neighborhood_Latitude","Neighborhood_Longitude","Location_Formatted_Address","Categories_Name","Location_Address","Location_Postal_Code","Location_City","Location_State","Cluster_Label"
"ISRO Anthariksha Bhavan","Grocery Store","The Bay Store","5d596f45d2d99a0008235543",13.044539,77.571703,"Tower-6, Pebble Bay (1st Main Road, RMV II Stage)","Grocery Store","Tower-6, Pebble Bay",560094,"Bangalore","Karnataka",1
"Koramangala VI Bk","Grocery Store","Namdhari's Fresh","4c3c470386ce328ff278ab2d",12.93845312,77.62613591,"Bangalore 560095","Grocery Store","null",560095,"Bangalore","Karnataka",0
"Rajarajeshwari Nagar","Grocery Store","Fresh Basket","5798da5d498e2bdcd1d382ac",12.928299,77.518047,"Ideal Homes (Rajarajeshwari Nagar)","Grocery Store","Ideal Homes","null","Bangalore","Karnataka",0
"Chickpet","Department Store","Manak Mewa Stores","5134bb4be4b0c8270698cbbb",12.97037223,77.57805288,"No:19 (Huriupete Rd, Anchepet, Chickpete)","Department Store","No:19",560053,"Bangalore","Karnataka",0
"Adugodi","Grocery Store","Family Supermarket","58ac20ab739d855978a8899d",12.943099,77.598755,"Bangalore 560030","Grocery Store","null",560030,"Bangalore","Karnataka",0
"Basaveshwaranagar","Department Store","Daily Mart","512a2779e4b089fc423f3fc3",12.99122756,77.53456454,"Basaveshwaranagar (8th Main Road)","Department Store","Basaveshwaranagar",560079,"Bangalore","Karnataka",1
"H.A.L II Stage","Grocery Store","Spencers","4b83e2bbf964a5202d1531e3",12.9737238,77.64693354,"80 Feet Road (80 ft rd)","Grocery Store","80 Feet Road",560008,"Bangalore","Karnataka",2
"Jayangar III Block","Grocery Store","Namdhari's Fresh","4eab909a30f823f86e5d93a7",12.92319664,77.58496411,"10th Main Road, Jayanagar 4th Block (36th Cross)","Grocery Store","10th Main Road, Jayanagar 4th Block",560011,"Bangalore","Karnataka",0
"HSR","Grocery Store","Happy Land","5c1e0cf6bfc6d0002cbbaab3",12.906432,77.663569,"Haralur Road","Grocery Store","Haralur Road",560102,"Bangalore","Karnataka",2
"Doddagubbi","Grocery Store","All Market","5df62b04ec03e40007d72c1b",13.068383,77.629234,"Bangalore 560077","Grocery Store","null",560077,"Bangalore","Karnataka",1
